review_id,title,hypothesis,method,references,novelty_1_to_5,feasibility_1_to_5,comment
0006900ba81880d1,agents study s12 approach 1,Combining Synthetic agents planning scenario 7 with resource-limited collaboration changes performance.,Cross-domain transfer with randomized team composition and ablations.,demo_agents_07,,,
0060096226beb063,science study s02 approach 1,Combining Synthetic science paper retrieval scenario 1 with resource-limited collaboration changes performance.,Cross-domain transfer with randomized team composition and ablations.,demo_science_01,,,
00840947cc10e75e,agents study s06 approach 1,Combining Synthetic agents planning scenario 7 with resource-limited collaboration changes performance.,Cross-domain transfer with randomized team composition and ablations.,demo_agents_07,,,
008c8552cad4597e,agents study s12 approach 0,Combining Synthetic agents planning scenario 3 with resource-limited collaboration changes performance. Test with matched initial states.,Controlled graph benchmark and matched trials. Add independent runs and a no-sharing control.,demo_agents_03,,,
008df70935fb7ded,science study s14 approach 1,Combining Synthetic science paper retrieval scenario 1 with resource-limited collaboration changes performance. Test with matched initial states.,Cross-domain transfer with randomized team composition and ablations. Add independent runs and a no-sharing control.,demo_science_01,,,
0115b479f8dc2c51,science study s17 approach 0,Combining Synthetic science hypothesis generation scenario 0 with resource-limited collaboration changes performance. Test with matched initial states.,Controlled graph benchmark and matched trials. Add independent runs and a no-sharing control.,demo_science_00,,,
01214459920befb7,learning study s10 approach 1,Combining Synthetic learning exploration scenario 7 with resource-limited collaboration changes performance. Test with matched initial states.,Cross-domain transfer with randomized team composition and ablations. Add independent runs and a no-sharing control.,demo_learning_07,,,
01540cbaac1b3099,agents study s09 approach 0,Combining Synthetic agents planning scenario 3 with resource-limited collaboration changes performance. Test with matched initial states.,Controlled graph benchmark and matched trials. Add independent runs and a no-sharing control.,demo_agents_03,,,
01d3ef205a3bbe2d,learning study s13 approach 1,Combining Synthetic learning exploration scenario 7 with resource-limited collaboration changes performance. Test with matched initial states.,Cross-domain transfer with randomized team composition and ablations. Add independent runs and a no-sharing control.,demo_learning_07,,,
01d4f3785264d735,agents study s00 approach 1,Combining Synthetic agents planning scenario 7 with resource-limited collaboration changes performance. Test with matched initial states.,Cross-domain transfer with randomized team composition and ablations. Add independent runs and a no-sharing control.,demo_agents_07,,,
02030812cc22ce56,agents study s09 approach 1,Combining Synthetic agents planning scenario 7 with resource-limited collaboration changes performance. Test with matched initial states.,Cross-domain transfer with randomized team composition and ablations. Add independent runs and a no-sharing control.,demo_agents_07,,,
0211e8de75e943d1,agents study s03 approach 1,Combining Synthetic agents planning scenario 7 with resource-limited collaboration changes performance. Test with matched initial states.,Cross-domain transfer with randomized team composition and ablations. Add independent runs and a no-sharing control.,demo_agents_07,,,
027be58f84844e7a,science study s05 approach 1,Combining Synthetic science paper retrieval scenario 1 with resource-limited collaboration changes performance. Test with matched initial states.,Cross-domain transfer with randomized team composition and ablations. Add independent runs and a no-sharing control.,demo_science_01,,,
02b8683c3b38fe1f,agents study s18 approach 1,Combining Synthetic agents planning scenario 7 with resource-limited collaboration changes performance. Test with matched initial states.,Cross-domain transfer with randomized team composition and ablations. Add independent runs and a no-sharing control.,demo_agents_07,,,
02c9b38d4c08447f,learning study s10 approach 1,Combining Synthetic learning exploration scenario 7 with resource-limited collaboration changes performance. Test with matched initial states.,Cross-domain transfer with randomized team composition and ablations. Add independent runs and a no-sharing control.,demo_learning_07,,,
02d00d9083a3217c,learning study s07 approach 1,Combining Synthetic learning exploration scenario 7 with resource-limited collaboration changes performance.,Cross-domain transfer with randomized team composition and ablations.,demo_learning_07,,,
